

RUN: run status: enemy: 5; fitness: 30.452244721017884; player life: 13.600000000000229; enemy life: 60.0; time: 1000

RUN: run status: enemy: 5; fitness: 89.2793183689845; player life: 48.400000000000304; enemy life: 0; time: 260

RUN: run status: enemy: 5; fitness: 87.36324619773174; player life: 30.40000000000026; enemy life: 0; time: 292

RUN: run status: enemy: 5; fitness: 89.23092391510481; player life: 47.8000000000003; enemy life: 0; time: 257

RUN: run status: enemy: 5; fitness: 87.86751081973138; player life: 35.20000000000027; enemy life: 0; time: 285

RUN: run status: enemy: 5; fitness: 88.97931836898451; player life: 45.4000000000003; enemy life: 0; time: 260

RUN: run status: enemy: 5; fitness: 88.76751081973138; player life: 44.200000000000294; enemy life: 0; time: 285

RUN: run status: enemy: 5; fitness: 2.64911428328526; player life: 0; enemy life: 90.0; time: 573

RUN: run status: enemy: 5; fitness: 56.33814525945469; player life: 0; enemy life: 30.0; time: 782

RUN: run status: enemy: 5; fitness: 88.34751081973138; player life: 40.000000000000284; enemy life: 0; time: 285

RUN: run status: enemy: 5; fitness: 89.23092391510481; player life: 47.8000000000003; enemy life: 0; time: 257

RUN: run status: enemy: 5; fitness: -6.35088571671474; player life: 0; enemy life: 100; time: 573

RUN: run status: enemy: 5; fitness: -2.307755278982107; player life: 46.0000000000003; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 87.56751081973138; player life: 32.200000000000266; enemy life: 0; time: 285

RUN: run status: enemy: 5; fitness: 88.34751081973138; player life: 40.000000000000284; enemy life: 0; time: 285

RUN: run status: enemy: 5; fitness: 89.23092391510481; player life: 47.8000000000003; enemy life: 0; time: 257

RUN: run status: enemy: 5; fitness: 89.65092391510481; player life: 52.00000000000031; enemy life: 0; time: 257

RUN: run status: enemy: 5; fitness: 89.0393183689845; player life: 46.0000000000003; enemy life: 0; time: 260

RUN: run status: enemy: 5; fitness: 89.23092391510481; player life: 47.8000000000003; enemy life: 0; time: 257

RUN: run status: enemy: 5; fitness: 88.5593183689845; player life: 41.20000000000029; enemy life: 0; time: 260

RUN: run status: enemy: 5; fitness: 88.42405089685371; player life: 40.000000000000284; enemy life: 0; time: 264

RUN: run status: enemy: 5; fitness: 2.6526107903439895; player life: 0; enemy life: 90.0; time: 571

RUN: run status: enemy: 5; fitness: -2.9677552789821084; player life: 39.40000000000028; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 86.91102576183883; player life: 25.60000000000025; enemy life: 0; time: 284

RUN: run status: enemy: 5; fitness: 89.1109239151048; player life: 46.6000000000003; enemy life: 0; time: 257

RUN: run status: enemy: 5; fitness: 88.5852886203982; player life: 41.80000000000029; enemy life: 0; time: 269

RUN: run status: enemy: 5; fitness: 88.97931836898451; player life: 45.4000000000003; enemy life: 0; time: 260

RUN: run status: enemy: 5; fitness: 88.5593183689845; player life: 41.20000000000029; enemy life: 0; time: 260

RUN: run status: enemy: 5; fitness: 87.12324619773175; player life: 28.000000000000256; enemy life: 0; time: 292

RUN: run status: enemy: 5; fitness: 89.1109239151048; player life: 46.6000000000003; enemy life: 0; time: 257

RUN: run status: enemy: 5; fitness: 88.97931836898451; player life: 45.4000000000003; enemy life: 0; time: 260

RUN: run status: enemy: 5; fitness: 88.04901301948917; player life: 36.400000000000276; enemy life: 0; time: 268

RUN: run status: enemy: 5; fitness: 87.78324619773174; player life: 34.60000000000027; enemy life: 0; time: 292

RUN: run status: enemy: 5; fitness: -2.547755278982107; player life: 43.60000000000029; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 20.072244721017874; player life: 89.8000000000001; enemy life: 80.0; time: 1000

RUN: run status: enemy: 5; fitness: 89.33931836898451; player life: 49.000000000000306; enemy life: 0; time: 260

RUN: run status: enemy: 5; fitness: 88.76751081973138; player life: 44.200000000000294; enemy life: 0; time: 285

RUN: run status: enemy: 5; fitness: 87.06324619773174; player life: 27.400000000000254; enemy life: 0; time: 292

RUN: run status: enemy: 5; fitness: 87.84324619773174; player life: 35.20000000000027; enemy life: 0; time: 292

RUN: run status: enemy: 5; fitness: 11.915500586924828; player life: 0; enemy life: 80.0; time: 439

RUN: run status: enemy: 5; fitness: 89.0993183689845; player life: 46.6000000000003; enemy life: 0; time: 260

RUN: run status: enemy: 5; fitness: 87.56751081973138; player life: 32.200000000000266; enemy life: 0; time: 285

RUN: run status: enemy: 5; fitness: -3.62775527898211; player life: 32.80000000000027; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 88.7993183689845; player life: 43.60000000000029; enemy life: 0; time: 260

RUN: run status: enemy: 5; fitness: 87.42324619773174; player life: 31.000000000000263; enemy life: 0; time: 292

RUN: run status: enemy: 5; fitness: 20.509276465497493; player life: 0; enemy life: 70.0; time: 659

RUN: run status: enemy: 5; fitness: 87.06324619773174; player life: 27.400000000000254; enemy life: 0; time: 292

RUN: run status: enemy: 5; fitness: 2.8262138960980634; player life: 0; enemy life: 90.0; time: 480

RUN: run status: enemy: 5; fitness: 89.23092391510481; player life: 47.8000000000003; enemy life: 0; time: 257

RUN: run status: enemy: 5; fitness: 86.46324619773175; player life: 21.40000000000024; enemy life: 0; time: 292

RUN: run status: enemy: 5; fitness: 86.91102576183883; player life: 25.60000000000025; enemy life: 0; time: 284

RUN: run status: enemy: 5; fitness: 86.88324619773175; player life: 25.60000000000025; enemy life: 0; time: 292

RUN: run status: enemy: 5; fitness: 89.1109239151048; player life: 46.6000000000003; enemy life: 0; time: 257

RUN: run status: enemy: 5; fitness: 4.592244721017888; player life: 25.00000000000025; enemy life: 90.0; time: 1000

